,Sr_No,id,lastname,firstname,gender,ethnicity,year,lowup,section,gpa,extrc,review,quiz1,quiz2,quiz3,quiz4,quiz5,final,total,percent,grade,passfail,ethnicity_1_4,percentSQRT
100,101,"978,889",ZIMCHEK,ARMANDO,2,4,4,2,1,4,1,2,4,8,6,6,9,64,97,78,C,P,3,8.83
7,8,"154,441",LIAN,JENNY,1,5,2,1,1,4,1,2,10,9,10,10,10,71,120,96,A,P,4,9.8
56,57,"595,177",WILLIAMS,OLIMPIA,1,3,3,2,3,1,1,1,7,6,7,10,5,53,88,70,C,P,2,8.37
41,42,"467,806",DEVERS,GAIL,1,3,3,2,1,2,1,1,7,6,8,7,9,59,96,77,C,P,2,8.77
22,23,"287,617",CUMMINGS,DAVENA,1,5,3,2,3,2,1,2,9,10,9,9,9,52,98,78,C,P,4,8.83
66,67,"737,728",BELTRAN,JIM,2,3,3,2,1,3,1,1,6,8,9,5,7,62,97,78,C,P,2,8.83
16,17,"237,983",LEE,JONATHAN,2,2,4,2,2,2,2,2,5,7,4,7,6,63,92,74,C,P,1,8.6
68,69,"756,097",KURSEE,JACKIE,1,3,3,2,2,3,1,2,9,6,8,7,10,66,106,85,B,P,2,9.22
84,85,"897,606",GENOBAGA,JACQUELINE,1,2,3,2,3,3,1,2,8,9,8,8,7,68,108,86,B,P,1,9.27
83,84,"896,972",HUANG,MIRNA,1,2,3,2,1,3,1,1,7,6,10,8,7,57,95,76,C,P,1,8.72
53,54,"576,008",BULMERKA,HUSIBA,1,4,4,2,3,3,2,1,10,8,7,9,7,68,109,87,B,P,3,9.33
98,99,"972,678",KAHRS,JANN,1,4,4,2,2,2,1,2,10,10,10,10,10,53,93,74,C,P,3,8.6
12,13,"175,325",KHOURY,DENNIS,2,4,3,2,1,2,1,1,8,8,10,10,6,69,111,89,B,P,3,9.43
39,40,"463,276",HANSEN,TIM,2,4,3,2,1,4,2,2,10,10,10,9,10,74,123,98,A,P,3,9.9
43,44,"479,547",LANGFORD,BLAIR,2,3,3,2,1,3,2,2,10,10,10,9,10,75,124,99,A,P,2,9.95
26,27,"337,908",UYEYAMA,VICTORINE,1,1,3,2,2,2,2,1,10,8,10,10,7,63,108,86,B,P,1,9.27
47,48,"515,586",FIALLOS,LAUREL,1,4,2,1,2,4,1,1,7,8,8,6,6,63,98,78,C,P,3,8.83
62,63,"700,978",WEBSTER,DEANNA,1,3,2,1,3,4,1,2,8,9,9,10,10,67,113,90,A,P,2,9.49
48,49,"519,444",RATHBUN,DAWNE,1,4,4,2,2,4,1,1,10,9,10,10,8,74,121,97,A,P,3,9.85
1,2,"108,642",VALAZQUEZ,SCOTT,2,4,3,2,2,2,2,1,10,10,7,6,9,54,96,77,C,P,3,8.77
